manager_name,club,nationality
Mikel Arteta,Arsenal, Spain
Unai Emery,Aston Villa, Spain
Gary O'Neil,Bournemouth, England
Thomas Frank,Brentford, Denmark
Roberto De Zerbi,Brighton and Hove Albion, Italy
Graham Potter,Chelsea, England
Patrick Vieira,Crystal Palace, France
Frank Lampard,Everton, England
Marco Silva,Fulham, Portugal
Jesse Marsch,Leeds United, United States
Brendan Rodgers,Leicester City, Northern Ireland
JÃ¼rgen Klopp,Liverpool, Germany
Pep Guardiola,Manchester City, Spain
Erik ten Hag,Manchester United, Netherlands
Eddie Howe,Newcastle United, England
Steve Cooper,Nottingham Forest, Wales
Nathan Jones,Southampton, Wales
Antonio Conte,Tottenham Hotspur, Italy
David Moyes,West Ham United, Scotland
Julen Lopetegui,Wolverhampton Wanderers, Spain
